window_key,window,referent,comparison_key,comparison,contrast_coding,term,estimate,ci_95_lower,ci_95_upper,p_beta_gt_0,n_bin_rows,n_trials_with_gaze,n_positive_trials,n_negative_trials
linguistic_encoding_2,Linguistic encoding II,patient,direct_1_1_vs_direct_1_2,Direct 1 agent/1 patient vs direct 1 agent/2 patients,+1 direct 1-1; -1 direct 1-2,contrast,-0.06716582572954405,-1.2069243793335407,1.085069027692457,0.45405,8030,392,194,198
linguistic_encoding_2,Linguistic encoding II,patient,direct_1_1_vs_direct_1_2,Direct 1 agent/1 patient vs direct 1 agent/2 patients,+1 direct 1-1; -1 direct 1-2,time:contrast,-0.20298029870086523,-0.7075210224356631,0.30947027462835464,0.2181,8030,392,194,198
linguistic_encoding_2,Linguistic encoding II,patient,direct_1_1_vs_direct_1_2,Direct 1 agent/1 patient vs direct 1 agent/2 patients,+1 direct 1-1; -1 direct 1-2,time2:contrast,0.22720312059905878,-0.5464138747241474,1.0043657153036658,0.71585,8030,392,194,198
linguistic_encoding_2,Linguistic encoding II,patient,direct_1_1_vs_direct_1_2,Direct 1 agent/1 patient vs direct 1 agent/2 patients,+1 direct 1-1; -1 direct 1-2,time3:contrast,3.8449762385690804,0.9809169747525956,6.68885706107187,0.9962,8030,392,194,198
linguistic_encoding_2,Linguistic encoding II,agent,inverse_2_1_vs_inverse_2_2,Inverse 2 agents/1 patient vs inverse 2 agents/2 patients,+1 inverse 2-1; -1 inverse 2-2,contrast,0.22351116622854034,-1.0905628158479073,1.5393023386818556,0.63005,7439,347,184,163
linguistic_encoding_2,Linguistic encoding II,agent,inverse_2_1_vs_inverse_2_2,Inverse 2 agents/1 patient vs inverse 2 agents/2 patients,+1 inverse 2-1; -1 inverse 2-2,time:contrast,0.10145756700125037,-0.3972896853705208,0.6117434423586394,0.64985,7439,347,184,163
linguistic_encoding_2,Linguistic encoding II,agent,inverse_2_1_vs_inverse_2_2,Inverse 2 agents/1 patient vs inverse 2 agents/2 patients,+1 inverse 2-1; -1 inverse 2-2,time2:contrast,0.3033541011689951,-0.4785759524332389,1.102188508868165,0.77415,7439,347,184,163
linguistic_encoding_2,Linguistic encoding II,agent,inverse_2_1_vs_inverse_2_2,Inverse 2 agents/1 patient vs inverse 2 agents/2 patients,+1 inverse 2-1; -1 inverse 2-2,time3:contrast,-0.8583227949793476,-3.7799801028373405,2.028560771707655,0.28215,7439,347,184,163
linguistic_encoding_2,Linguistic encoding II,patient,inverse_2_1_vs_inverse_2_2,Inverse 2 agents/1 patient vs inverse 2 agents/2 patients,+1 inverse 2-1; -1 inverse 2-2,contrast,-0.3152140393840084,-1.3506112364920766,0.7504077064065304,0.28195,7439,347,184,163
linguistic_encoding_2,Linguistic encoding II,patient,inverse_2_1_vs_inverse_2_2,Inverse 2 agents/1 patient vs inverse 2 agents/2 patients,+1 inverse 2-1; -1 inverse 2-2,time:contrast,-0.19711858976746766,-0.7041268685114676,0.3107642395183732,0.22565,7439,347,184,163
