participant,item,rt,fluency,sentence_type,word_order,direct
К06,dress-2-1-l.png,2854,yes,inverse,AVP,0
К06,throw-1-2-l.png,2003,yes,direct,AVP,1
К06,cut_hair-1-1-r.png,1623,yes,direct,AVP,1
К06,cover-2-2-r.png,2135,yes,inverse,AVP,0
К06,wash-1-2-l.png,3056,yes,direct,AVP,1
К06,paint-2-1-l.png,1244,yes,inverse,AVP,0
К06,clean-1-1-r.png,2389,yes,direct,AVP,1
К06,pour-1-1-r.png,2103,yes,direct,AVP,1
К06,tie-1-2-l.png,1364,yes,direct,AVP,1
К06,boil-2-1-l.png,5213,yes,inverse,AVP,0
К06,hang-1-1-r.png,2336,yes,direct,AVP,1
К06,treat-2-1-l.png,3400,yes,inverse,AVP,0
К06,pull-1-2-l.png,1051,yes,direct,AVP,1
К06,scold-1-1-r.png,1832,yes,direct,AVP,1
К06,hit-1-2-l.png,1635,yes,direct,AVP,1
К06,saw-2-1-l.png,1831,yes,inverse,AVP,0
К06,give_water-1-2-l.png,3485,yes,direct,AVP,1
К06,eat-2-2-r.png,1874,yes,inverse,AVP,0
К06,pour-2-1-l.png,1895,yes,inverse,AVP,0
К06,tie-2-2-r.png,1599,yes,inverse,AVP,0
К06,carry-1-1-r.png,1551,yes,direct,AVP,1
К06,call-1-2-l.png,1494,yes,direct,AVP,1
К06,feed-1-1-r.png,2771,yes,direct,AVP,1
К06,water-2-2-r.png,1422,yes,inverse,AVP,0
К06,wake-2-1-l.png,1863,yes,inverse,AVP,0
К06,makelaugh-2-2-r.png,2162,yes,inverse,AVP,0
К06,boil-1-1-r.png,2938,yes,direct,AVP,1
К06,hang-2-1-l.png,1851,yes,inverse,AVP,0
К06,dress-1-1-r.png,1512,yes,direct,AVP,1
К06,cut_hair-2-1-l.png,1487,yes,inverse,AVP,0
К06,burn-1-2-l.png,2018,yes,direct,AVP,1
К06,saw-1-1-r.png,1987,yes,inverse,AVP,0
К06,shoot-1-2-l.png,1741,yes,direct,AVP,1
К06,open-2-1-l.png,2362,yes,inverse,AVP,0
К06,treat-1-1-r.png,2485,yes,direct,AVP,1
К06,throw-2-2-r.png,1167,yes,inverse,AVP,0
К06,cover-1-2-l.png,2640,yes,direct,AVP,1
К06,hit-2-2-r.png,1956,yes,inverse,AVP,0
К10,wake-2-2-r.png,3591,yes,inverse,AVP,0
К10,carry-1-2-l.png,4931,yes,direct,AVP,1
