participant,item,type,condition,word_order,sol,reaches_3500ms,last_available_sample_ms_1based,n_extracted_samples
PRM_a1,8,pass,P,P-AV,3860.000000,yes,3500,3500
PRM_a1,9,pass,none,APV,1257.000000,no,1258,1258
PRM_b3,1,act,none,APV,1773.000000,no,1774,1774
PRM_b3,12,pass,P,AV,2055.000000,no,2056,2056
PRM_b3,13,act,none,APV,1680.000000,no,1681,1681
PRM_b3,14,act,A,PV,1902.000000,no,1903,1903
PRM_b3,15,pass,P,AV,1884.000000,no,1885,1885
PRM_b3,17,act,A,PV,1839.000000,no,1840,1840
PRM_b3,18,pass,P,AV,2100.000000,no,2101,2101
PRM_b3,19,act,none,P-APV,1493.000000,no,1494,1494
PRM_b3,2,pass,A,AV,1297.000000,no,1298,1298
PRM_b3,20,act,A,PV,1675.000000,no,1676,1676
PRM_b3,21,pass,P,AV,1409.000000,no,1410,1410
PRM_b3,22,act,none,APV,1605.000000,no,1606,1606
PRM_b3,23,act,A,PV,1791.000000,no,1792,1792
PRM_b3,24,pass,P,AV,2197.000000,no,2198,2198
PRM_b3,3,pass,P,AV,1601.000000,no,1602,1602
PRM_b3,4,act,none,APV,1790.000000,no,1791,1791
PRM_b3,5,act,A,PV,3166.000000,no,3167,3167
PRM_b3,6,pass,P,AV,2625.000000,no,2626,2626
PRM_b3,7,act,none,APV,1668.000000,no,1669,1669
PRM_b3,8,pass,A,AV,1913.000000,no,1914,1914
PRM_b3,9,pass,P,AV,1477.000000,no,1478,1478
RAI_a3,1,act,none,APV,1671.000000,no,1672,1672
RAI_a3,10,act,none,APV,1842.000000,no,1843,1843
RAI_a3,11,act,A,PV,1753.000000,no,1754,1754
RAI_a3,12,pass,P,APV,1698.000000,no,1699,1699
RAI_a3,13,act,none,APV,1347.000000,no,1348,1348
RAI_a3,14,act,A,APV,3122.000000,no,3123,3123
RAI_a3,15,pass,P,AV,4213.000000,yes,3500,3500
RAI_a3,16,act,none,APV,1882.000000,no,1883,1883
RAI_a3,17,act,A,APV,4911.000000,yes,3500,3500
RAI_a3,18,pass,P,AV,2208.000000,no,2209,2209
RAI_a3,19,act,none,APV,1946.000000,no,1947,1947
RAI_a3,2,act,A,PV,2859.000000,no,2860,2860
RAI_a3,20,act,A,PV,5163.000000,yes,3500,3500
RAI_a3,21,pass,P,AV,2283.000000,no,2284,2284
RAI_a3,22,act,none,APV,2049.000000,no,2050,2050
RAI_a3,23,act,A,PV,2286.000000,no,2287,2287
RAI_a3,24,pass,P,AV,1572.000000,no,1573,1573
RAI_a3,3,act,P,APV,1741.000000,no,1742,1742
RAI_a3,4,act,none,APV,1746.000000,no,1747,1747
RAI_a3,5,act,A,APV,2627.000000,no,2628,2628
RAI_a3,6,pass,P,AV,2168.000000,no,2169,2169
RAI_a3,7,pass,none,PAV,3492.000000,no,3493,3493
RAI_a3,8,act,A,PV,4075.000000,yes,3500,3500
RAI_a3,9,pass,P,AV,1482.000000,no,1483,1483
RAI_b1,1,act,A,APV,1174.000000,no,1175,1175
RAI_b1,10,act,A,APV,3086.000000,no,3087,3087
RAI_b1,11,pass,P,APV,2777.000000,no,2778,2778
RAI_b1,12,pass,none,PAV,3420.000000,no,3421,3421
