graph_id,referent,time_bin_start_ms,mean_prop,sd_prop,n_trial_bins,lower,upper
act_greater_than_mean,agent,2200,0.554514,0.485725,175,0.481080,0.627949
act_greater_than_mean,agent,2250,0.553486,0.486296,175,0.479965,0.627007
act_greater_than_mean,agent,2300,0.559543,0.481821,175,0.486698,0.632387
act_greater_than_mean,agent,2350,0.551657,0.488094,175,0.477864,0.625450
act_greater_than_mean,agent,2400,0.571200,0.485209,175,0.497843,0.644557
act_greater_than_mean,agent,2450,0.546057,0.483162,175,0.473010,0.619104
act_greater_than_mean,agent,2500,0.538971,0.487953,175,0.465200,0.612743
act_greater_than_mean,agent,2550,0.528000,0.490709,175,0.453812,0.602188
act_greater_than_mean,agent,2600,0.520914,0.492168,175,0.446506,0.595323
act_greater_than_mean,agent,2650,0.513600,0.488851,175,0.439693,0.587507
act_greater_than_mean,agent,2700,0.509486,0.493455,175,0.434882,0.584089
act_greater_than_mean,agent,2750,0.508914,0.485148,175,0.435567,0.582262
act_greater_than_mean,agent,2800,0.519314,0.488323,175,0.445487,0.593142
act_greater_than_mean,agent,2850,0.509143,0.490595,175,0.434972,0.583314
act_greater_than_mean,agent,2900,0.481600,0.492320,175,0.407168,0.556032
act_greater_than_mean,agent,2950,0.453829,0.483449,175,0.380738,0.526919
act_greater_than_mean,agent,3000,0.444114,0.486674,175,0.370536,0.517693
act_greater_than_mean,agent,3050,0.453257,0.488430,175,0.379414,0.527101
act_greater_than_mean,agent,3100,0.434171,0.484714,175,0.360890,0.507453
act_greater_than_mean,agent,3150,0.424343,0.483226,175,0.351286,0.497400
act_greater_than_mean,agent,3200,0.427314,0.483071,175,0.354281,0.500348
act_greater_than_mean,agent,3250,0.449143,0.493646,175,0.374511,0.523775
act_greater_than_mean,agent,3300,0.425143,0.480023,175,0.352570,0.497715
act_greater_than_mean,agent,3350,0.417486,0.483686,175,0.344359,0.490612
act_greater_than_mean,agent,3400,0.402514,0.479145,175,0.330074,0.474954
act_greater_than_mean,agent,3450,0.371429,0.474966,175,0.299620,0.443237
act_greater_than_mean,agent,3500,0.381943,0.477983,175,0.309679,0.454207
act_greater_than_mean,agent,3550,0.365600,0.474483,175,0.293865,0.437335
act_greater_than_mean,agent,3600,0.359086,0.473994,175,0.287425,0.430747
act_greater_than_mean,agent,3650,0.369829,0.478411,175,0.297500,0.442158
act_greater_than_mean,agent,3700,0.368686,0.476802,175,0.296600,0.440771
act_greater_than_mean,agent,3750,0.371314,0.472073,175,0.299944,0.442685
act_greater_than_mean,agent,3800,0.348571,0.459557,175,0.279093,0.418050
act_greater_than_mean,agent,3850,0.319886,0.459432,175,0.250426,0.389345
act_greater_than_mean,agent,3900,0.301600,0.446722,175,0.234062,0.369138
act_greater_than_mean,agent,3950,0.296571,0.452749,175,0.228122,0.365021
act_greater_than_mean,agent,4000,0.302629,0.453746,175,0.234029,0.371228
act_greater_than_mean,agent,4050,0.303200,0.450949,175,0.235023,0.371377
act_greater_than_mean,agent,4100,0.323771,0.464404,175,0.253560,0.393983
act_greater_than_mean,agent,4150,0.330743,0.466248,175,0.260253,0.401233
act_greater_than_mean,agent,4200,0.353029,0.470069,175,0.281961,0.424096
act_greater_than_mean,agent,4250,0.349600,0.464371,175,0.279394,0.419806
act_greater_than_mean,agent,4300,0.314057,0.451970,175,0.245726,0.382389
act_greater_than_mean,agent,4350,0.298857,0.451020,175,0.230669,0.367045
act_greater_than_mean,agent,4400,0.299314,0.442718,175,0.232382,0.366247
act_greater_than_mean,agent,4450,0.318743,0.459511,175,0.249271,0.388214
act_greater_than_mean,agent,4500,0.349029,0.468535,175,0.278193,0.419864
act_greater_than_mean,agent,4550,0.342743,0.469421,175,0.271773,0.413713
act_greater_than_mean,agent,4600,0.366743,0.472088,175,0.295370,0.438116
act_greater_than_mean,agent,4650,0.350286,0.467686,175,0.279578,0.420993
act_greater_than_mean,agent,4700,0.339429,0.467424,175,0.268761,0.410096
act_greater_than_mean,agent,4750,0.323543,0.463380,175,0.253486,0.393599
act_greater_than_mean,agent,4800,0.335657,0.466978,175,0.265057,0.406258
act_greater_than_mean,agent,4850,0.347429,0.473148,175,0.275895,0.418962
act_greater_than_mean,agent,4900,0.347543,0.469152,175,0.276614,0.418472
act_greater_than_mean,agent,4950,0.365600,0.466735,175,0.295036,0.436164
act_greater_than_mean,patient,0,0.369029,0.469256,175,0.298084,0.439973
act_greater_than_mean,patient,50,0.365371,0.461453,175,0.295606,0.435137
act_greater_than_mean,patient,100,0.395543,0.480776,175,0.322856,0.468229
act_greater_than_mean,patient,150,0.426971,0.470553,175,0.355831,0.498112
act_greater_than_mean,patient,200,0.446057,0.463502,175,0.375982,0.516132
act_greater_than_mean,patient,250,0.470857,0.469603,175,0.399860,0.541855
act_greater_than_mean,patient,300,0.469257,0.470670,175,0.398099,0.540416
act_greater_than_mean,patient,350,0.469714,0.485310,175,0.396342,0.543086
act_greater_than_mean,patient,400,0.467314,0.480911,175,0.394607,0.540021
act_greater_than_mean,patient,450,0.456571,0.478438,175,0.384238,0.528904
act_greater_than_mean,patient,500,0.460686,0.486332,175,0.387159,0.534212
act_greater_than_mean,patient,550,0.438971,0.477331,175,0.366806,0.511137
act_greater_than_mean,patient,600,0.409600,0.479280,175,0.337140,0.482060
act_greater_than_mean,patient,650,0.388686,0.472856,175,0.317197,0.460175
act_greater_than_mean,patient,700,0.376000,0.469688,175,0.304990,0.447010
act_greater_than_mean,patient,750,0.336800,0.463077,175,0.266789,0.406811
act_greater_than_mean,patient,800,0.332457,0.458972,175,0.263067,0.401847
act_greater_than_mean,patient,850,0.307657,0.448162,175,0.239901,0.375413
act_greater_than_mean,patient,900,0.282400,0.435089,175,0.216621,0.348179
act_greater_than_mean,patient,950,0.287314,0.439212,175,0.220912,0.353717
act_greater_than_mean,patient,1000,0.280800,0.432626,175,0.215393,0.346207
act_greater_than_mean,patient,1050,0.289371,0.439654,175,0.222902,0.355841
act_greater_than_mean,patient,1100,0.282171,0.433109,175,0.216691,0.347651
act_greater_than_mean,patient,1150,0.291086,0.439841,175,0.224588,0.357583
act_greater_than_mean,patient,1200,0.325371,0.457747,175,0.256167,0.394576
act_greater_than_mean,patient,1250,0.357371,0.474043,175,0.285703,0.429040
act_greater_than_mean,patient,1300,0.360457,0.473451,175,0.288878,0.432036
act_greater_than_mean,patient,1350,0.378057,0.466859,175,0.307475,0.448640
act_greater_than_mean,patient,1400,0.395429,0.479691,175,0.322906,0.467951
act_greater_than_mean,patient,1450,0.392000,0.468958,175,0.321100,0.462900
act_greater_than_mean,patient,1500,0.378400,0.469896,175,0.307358,0.449442
act_greater_than_mean,patient,1550,0.362171,0.464666,175,0.291920,0.432422
act_greater_than_mean,patient,1600,0.364800,0.470480,175,0.293670,0.435930
act_greater_than_mean,patient,1650,0.354514,0.468205,175,0.283728,0.425300
act_greater_than_mean,patient,1700,0.349143,0.469163,175,0.278212,0.420074
act_greater_than_mean,patient,1750,0.338286,0.466613,175,0.267740,0.408831
act_greater_than_mean,patient,1800,0.338400,0.467807,175,0.267674,0.409126
act_greater_than_mean,patient,1850,0.355200,0.467549,175,0.284513,0.425887
act_greater_than_mean,patient,1900,0.368114,0.473127,175,0.296584,0.439644
act_greater_than_mean,patient,1950,0.361257,0.468439,175,0.290436,0.432078
act_greater_than_mean,patient,2000,0.363086,0.461608,175,0.293297,0.432874
act_greater_than_mean,patient,2050,0.365143,0.472561,175,0.293698,0.436587
act_greater_than_mean,patient,2100,0.388229,0.479814,175,0.315688,0.460770
act_greater_than_mean,patient,2150,0.383086,0.473536,175,0.311494,0.454678
act_greater_than_mean,patient,2200,0.377714,0.473475,175,0.306132,0.449297
act_greater_than_mean,patient,2250,0.365143,0.473737,175,0.293521,0.436765
act_greater_than_mean,patient,2300,0.343886,0.463374,175,0.273830,0.413941
act_greater_than_mean,patient,2350,0.349371,0.469995,175,0.278315,0.420428
act_greater_than_mean,patient,2400,0.338171,0.458710,175,0.268821,0.407522
act_greater_than_mean,patient,2450,0.349257,0.463320,175,0.279210,0.419305
act_greater_than_mean,patient,2500,0.348343,0.466891,175,0.277756,0.418930
act_greater_than_mean,patient,2550,0.354171,0.470857,175,0.282985,0.425358
act_greater_than_mean,patient,2600,0.390400,0.477959,175,0.318139,0.462661
act_greater_than_mean,patient,2650,0.388114,0.478187,175,0.315819,0.460409
act_greater_than_mean,patient,2700,0.398171,0.486948,175,0.324552,0.471791
act_greater_than_mean,patient,2750,0.401943,0.477550,175,0.329744,0.474142
act_greater_than_mean,patient,2800,0.387657,0.473236,175,0.316111,0.459204
act_greater_than_mean,patient,2850,0.400000,0.481067,175,0.327270,0.472730
act_greater_than_mean,patient,2900,0.399543,0.480196,175,0.326944,0.472142
act_greater_than_mean,patient,2950,0.409943,0.478070,175,0.337665,0.482220
act_greater_than_mean,patient,3000,0.428457,0.485298,175,0.355087,0.501827
act_greater_than_mean,patient,3050,0.418400,0.485852,175,0.344946,0.491854
act_greater_than_mean,patient,3100,0.448571,0.485109,175,0.375230,0.521913
act_greater_than_mean,patient,3150,0.438057,0.477097,175,0.365927,0.510187
act_greater_than_mean,patient,3200,0.406971,0.482421,175,0.334036,0.479907
act_greater_than_mean,patient,3250,0.422057,0.487829,175,0.348304,0.495810
act_greater_than_mean,patient,3300,0.465943,0.486150,175,0.392444,0.539442
act_greater_than_mean,patient,3350,0.491543,0.490101,175,0.417446,0.565639
act_greater_than_mean,patient,3400,0.513486,0.484316,175,0.440264,0.586707
act_greater_than_mean,patient,3450,0.525943,0.491801,175,0.451590,0.600296
act_greater_than_mean,patient,3500,0.531200,0.489314,175,0.457223,0.605177
act_greater_than_mean,patient,3550,0.523657,0.492160,175,0.449250,0.598065
act_greater_than_mean,patient,3600,0.525714,0.490287,175,0.451590,0.599839
act_greater_than_mean,patient,3650,0.477143,0.490586,175,0.402973,0.551312
act_greater_than_mean,patient,3700,0.482857,0.487512,175,0.409152,0.556562
act_greater_than_mean,patient,3750,0.498057,0.485110,175,0.424715,0.571399
act_greater_than_mean,patient,3800,0.536457,0.483787,175,0.463315,0.609599
act_greater_than_mean,patient,3850,0.555886,0.486084,175,0.482397,0.629375
act_greater_than_mean,patient,3900,0.553829,0.486723,175,0.480243,0.627414
act_greater_than_mean,patient,3950,0.569257,0.485674,175,0.495830,0.642684
act_greater_than_mean,patient,4000,0.542514,0.492181,175,0.468104,0.616925
act_greater_than_mean,patient,4050,0.513829,0.489511,175,0.439821,0.587836
act_greater_than_mean,patient,4100,0.501371,0.488731,175,0.427482,0.575261
act_greater_than_mean,patient,4150,0.505486,0.488029,175,0.431703,0.579269
act_greater_than_mean,patient,4200,0.493257,0.483339,175,0.420183,0.566331
act_greater_than_mean,patient,4250,0.488114,0.481578,175,0.415306,0.560922
act_greater_than_mean,patient,4300,0.517600,0.488828,175,0.443696,0.591504
act_greater_than_mean,patient,4350,0.550286,0.492523,175,0.475823,0.624748
act_greater_than_mean,patient,4400,0.567086,0.479243,175,0.494631,0.639540
