ppt_id,item ,cond,rep,type,wo,sol,ppt.no
KSM_b2,3,A,ok,NA,NA,3089,6
KSM_b2,4,P,ok,NA,NA,3306,6
KSM_b2,5,none,ok,NA,NA,2466,6
KSM_b2,6,A,ok,act,APV,1960,6
KSM_b2,7,P,ok,NA,NA,2122,6
KSM_b2,8,none,ok,NA,NA,2968,6
KSM_b2,9,A,ok,act,APV,2569,6
KSM_b2,10,P,ok,pass,AV,2704,6
KSM_b2,11,none,ok,NA,NA,1525,6
KSM_b2,12,A,ok,NA,NA,3283,6
KSM_b2,13,P,ok,pass,APV,1763,6
KSM_b2,14,none,ok,NA,NA,2399,6
KSM_b2,15,A,ok,act,PV,3350,6
KSM_b2,16,P,ok,NA,NA,2407,6
KSM_b2,17,none,ok,act,APV,2114,6
KSM_b2,18,A,ok,act,APV,3346,6
KSM_b2,19,P,ok,act,APV,2956,6
KSM_b2,20,none,ok,NA,NA,2818,6
KSM_b2,21,A,ok,NA,NA,3982,6
KSM_b2,22,P,ok,NA,NA,2427,6
KSM_b2,23,none,ok,NA,NA,1877,6
KSM_b2,24,A,ok,act,PV,2132,6
REI_a2,1,P,ok,pass,AV,3345,7
REI_a2,2,none,ok,act,APV,4821,7
REI_a2,3,A,ok,act,PV,2921,7
REI_a2,4,P,ok,NA,NA,2067,7
REI_a2,5,none,ok,act,APV,3980,7
REI_a2,6,A,ok,act,PV,3649,7
REI_a2,7,P,ok,act,P-APV,3216,7
REI_a2,8,none,ok,NA,NA,2780,7
REI_a2,9,A,ok,act,PV,3662,7
REI_a2,10,P,ok,pass,AV,2473,7
REI_a2,11,none,ok,act,APV,3228,7
REI_a2,12,A,ok,NA,NA,7000,7
REI_a2,13,P,ok,NA,NA,4043,7
REI_a2,14,none,ok,act,APV,2496,7
REI_a2,15,A,ok,act,PV,2721,7
REI_a2,16,P,ok,act,APV,4436,7
REI_a2,17,none,ok,NA,NA,4689,7
REI_a2,18,A,ok,act,PV,6444,7
REI_a2,19,P,ok,pass,AV,4562,7
REI_a2,20,none,ok,act,APV,5841,7
REI_a2,21,A,ok,NA,NA,9478,7
REI_a2,22,P,ok,NA,NA,3836,7
REI_a2,23,none,ok,act,APV,5617,7
REI_a2,24,A,ok,act,PV,2415,7
REI_b1,1,A,ok,act,PV,3978,7
REI_b1,2,P,ok,pass,AV,3122,7
REI_b1,3,none,ok,act,APV,1628,7
REI_b1,4,A,ok,act,PV,2975,7
REI_b1,5,P,ok,pass,AV,3118,7
REI_b1,6,none,ok,pass,PAV,5252,7
REI_b1,7,A,ok,act,PV,2329,7
REI_b1,8,P,ok,pass,AV,3989,7
REI_b1,9,none,ok,NA,NA,2235,7
REI_b1,10,A,ok,act,PV,2570,7
REI_b1,11,P,ok,NA,NA,6164,7
REI_b1,12,none,ok,act,APV,7408,7
REI_b1,13,A,ok,NA,NA,7136,7
REI_b1,14,P,ok,pass,AV,3832,7
REI_b1,15,none,ok,act,APV,2737,7
REI_b1,16,A,ok,act,PV,5009,7
REI_b1,17,P,ok,pass,AV,7747,7
REI_b1,18,none,ok,act,APV,2767,7
REI_b1,19,A,ok,act,PV,11032,7
REI_b1,20,P,ok,pass,AV,5551,7
REI_b1,21,none,ok,NA,NA,2548,7
REI_b1,22,A,ok,NA,NA,12621,7
REI_b1,23,P,ok,pass,AV,3707,7
REI_b1,24,none,ok,act,APV,5058,7
SED__a2,1,P,ok,pass,PAV,1240,8
SED__a2,2,none,ok,NA,NA,833,8
SED__a2,3,A,ok,act,PV,1028,8
SED__a2,4,P,ok,pass,APV,1085,8
SED__a2,5,none,ok,pass,PAV,1231,8
SED__a2,6,A,ok,act,PV,944,8
SED__a2,7,P,ok,pass,APV,1164,8
SED__a2,8,none,ok,act,APV,1044,8
SED__a2,9,A,ok,NA,NA,859,8
SED__a2,10,P,ok,NA,NA,1067,8
SED__a2,11,none,ok,act,APV,971,8
SED__a2,12,A,ok,NA,NA,1253,8
SED__a2,13,P,ok,pass,PAV,1172,8
SED__a2,14,none,ok,act,APV,1297,8
SED__a2,15,A,ok,act,PV,1793,8
SED__a2,16,P,ok,pass,APV,1262,8
SED__a2,17,none,ok,pass,PAV,1412,8
SED__a2,18,A,ok,act,PV,1154,8
SED__a2,19,P,ok,pass,PAV,2056,8
SED__a2,20,none,ok,act,APV,1289,8
SED__a2,21,A,ok,act,APV,1184,8
SED__a2,22,P,ok,pass,AV,1478,8
SED__a2,23,none,ok,NA,NA,1295,8
SED__a2,24,A,ok,act,APV,1303,8
SED_b1,1,A,ok,act,PV,1242,8
SED_b1,2,P,ok,pass,AV,1543,8
SED_b1,3,none,ok,act,APV,2621,8
SED_b1,4,A,ok,act,APV,4176,8
SED_b1,5,P,ok,pass,AV,1081,8
SED_b1,6,none,ok,pass,PAV,1056,8
SED_b1,7,A,ok,act,PV,3555,8
SED_b1,8,P,ok,pass,AV,3328,8
SED_b1,9,none,ok,act,APV,892,8
SED_b1,10,A,ok,NA,NA,1323,8
SED_b1,11,P,ok,pass,AV,1201,8
SED_b1,12,none,ok,NA,NA,1753,8
SED_b1,13,A,ok,NA,NA,1409,8
SED_b1,14,P,ok,pass,AV,2333,8
SED_b1,15,none,ok,NA,NA,1607,8
SED_b1,16,A,ok,act,PV,1221,8
SED_b1,17,P,ok,pass,APV,1579,8
SED_b1,18,none,ok,act,APV,1374,8
SED_b1,19,A,ok,NA,NA,1419,8
SED_b1,20,P,ok,pass,AV,1686,8
SED_b1,21,none,ok,NA,NA,1792,8
SED_b1,22,A,ok,act,PV,1516,8
SED_b1,23,P,ok,pass,AV,1190,8
SED_b1,24,none,ok,act,APV,2231,8
RLI__b3,1,none,ok,act,APV,2402,9
RLI__b3,2,A,ok,act,APV,1620,9
RLI__b3,3,P,ok,pass,PAV,1365,9
RLI__b3,4,none,ok,act,APV,1478,9
RLI__b3,5,A,ok,act,APV,1246,9
RLI__b3,6,P,ok,NA,NA,1146,9
RLI__b3,7,none,ok,act,APV,1661,9
RLI__b3,8,A,ok,act,APV,1634,9
RLI__b3,9,P,ok,pass,PAV,1567,9
RLI__b3,10,none,ok,act,APV,1648,9
RLI__b3,11,A,ok,act,APV,1108,9
