participant,referent,time_bin_start_ms,mean_prop,sd_prop,n_trial_bins,lower,upper
SED,patient,2400,0.425185,0.489948,27,0.236604,0.613766
SED,patient,2450,0.494074,0.500947,27,0.301259,0.686889
SED,patient,2500,0.460741,0.475507,27,0.277718,0.643764
SED,patient,2550,0.388148,0.484062,27,0.201833,0.574464
SED,patient,2600,0.302222,0.447809,27,0.129860,0.474584
SED,patient,2650,0.271111,0.441582,27,0.101146,0.441076
SED,patient,2700,0.387407,0.479652,27,0.202789,0.572026
SED,patient,2750,0.407407,0.500712,27,0.214683,0.600131
SED,patient,2800,0.419259,0.494446,27,0.228947,0.609571
SED,patient,2850,0.422963,0.452164,27,0.248925,0.597001
SED,patient,2900,0.445926,0.489327,27,0.257584,0.634268
SED,patient,2950,0.419259,0.494446,27,0.228947,0.609571
SED,patient,3000,0.437778,0.483460,27,0.251694,0.623862
SED,patient,3050,0.444444,0.506370,27,0.249543,0.639346
SED,patient,3100,0.427407,0.491752,27,0.238132,0.616683
SED,patient,3150,0.339259,0.463481,27,0.160865,0.517653
SED,patient,3200,0.282222,0.431004,27,0.116329,0.448116
SED,patient,3250,0.263704,0.427301,27,0.099236,0.428172
SED,patient,3300,0.228889,0.409214,27,0.071382,0.386396
SED,patient,3350,0.214074,0.410021,27,0.056257,0.371891
SED,patient,3400,0.257778,0.444084,27,0.086850,0.428706
SED,patient,3450,0.259259,0.446576,27,0.087372,0.431146
PRM,agent,0,0.277778,0.460889,18,0.060513,0.495043
PRM,agent,50,0.323333,0.470206,18,0.101676,0.544991
PRM,agent,100,0.407778,0.492444,18,0.175638,0.639918
PRM,agent,150,0.371111,0.469303,18,0.149879,0.592343
PRM,agent,200,0.370000,0.457268,18,0.154442,0.585558
PRM,agent,250,0.498889,0.497167,18,0.264522,0.733256
PRM,agent,300,0.545556,0.503812,18,0.308056,0.783055
PRM,agent,350,0.511111,0.490964,18,0.279668,0.742554
PRM,agent,400,0.488889,0.475925,18,0.264536,0.713242
PRM,agent,450,0.444444,0.511310,18,0.203411,0.685478
PRM,agent,500,0.484444,0.500473,18,0.248519,0.720370
PRM,agent,550,0.464444,0.489348,18,0.233764,0.695125
