window_key,window,referent,time_rel,mean_prop,sd_prop,n_trial_bins,lower,upper
window4,"Post-onset, 0-1000 ms",patient,0.550000,0.299310,0.456316,58,0.179476,0.419145
window4,"Post-onset, 0-1000 ms",patient,0.600000,0.274138,0.429753,58,0.161279,0.386997
window4,"Post-onset, 0-1000 ms",patient,0.650000,0.310345,0.451838,58,0.191686,0.429003
window4,"Post-onset, 0-1000 ms",patient,0.700000,0.290690,0.448752,58,0.172842,0.408538
window4,"Post-onset, 0-1000 ms",patient,0.750000,0.320345,0.453160,58,0.201339,0.439351
window4,"Post-onset, 0-1000 ms",patient,0.800000,0.331034,0.459018,58,0.210491,0.451578
window4,"Post-onset, 0-1000 ms",patient,0.850000,0.391379,0.478567,58,0.265702,0.517057
window4,"Post-onset, 0-1000 ms",patient,0.900000,0.386897,0.474997,58,0.262156,0.511637
window4,"Post-onset, 0-1000 ms",patient,0.950000,0.374828,0.474272,58,0.250278,0.499378
window4,"Post-onset, 0-1000 ms",patient,1.000000,0.393103,0.479818,58,0.267097,0.519110
