participant,asc_file,block,trial_index,trial_num,image,rt_ms,n_fixations,pre_fixations,post_fixations,unknown_phase_fixations,agent_fixations,patient_fixations,other_fixations,sentence_type,word_order,fluency,trial_svg
K03,k03.asc,9,9,6,pick-1-1-r.png,1615,8,5,3,0,3,5,0,direct,AVP,yes,participant_trials/k03/b009_t9_pick-1-1-r.svg
K03,k03.asc,10,10,7,makelaugh-2-1-l.png,4121,20,15,5,0,8,11,1,inverse,AVP,yes,participant_trials/k03/b010_t10_makelaugh-2-1-l.svg
K03,k03.asc,11,11,8,carry-1-2-l.png,2685,12,8,4,0,7,4,1,direct,AVP,yes,participant_trials/k03/b011_t11_carry-1-2-l.svg
K03,k03.asc,12,12,9,teach-1-1-r.png,6268,26,22,4,0,13,13,0,direct,AVP,yes,participant_trials/k03/b012_t12_teach-1-1-r.svg
K03,k03.asc,13,13,10,open-2-2-r.png,2520,13,8,5,0,8,3,2,inverse,AVP,yes,participant_trials/k03/b013_t13_open-2-2-r.svg
K03,k03.asc,14,14,11,dress-1-2-l.png,3123,15,10,5,0,14,1,0,direct,AVP,yes,participant_trials/k03/b014_t14_dress-1-2-l.svg
K03,k03.asc,15,15,12,throw-2-1-l.png,1952,9,5,4,0,7,2,0,incorporation,AV,yes,participant_trials/k03/b015_t15_throw-2-1-l.svg
K03,k03.asc,16,16,13,cut_hair-2-2-r.png,1714,11,6,5,0,6,5,0,inverse,AVP,yes,participant_trials/k03/b016_t16_cut_hair-2-2-r.svg
K03,k03.asc,17,17,14,cover-1-1-r.png,4668,15,12,3,0,15,0,0,direct,AVP,yes,participant_trials/k03/b017_t17_cover-1-1-r.svg
K03,k03.asc,18,18,15,wash-2-1-l.png,2592,13,9,4,0,11,2,0,inverse,AVP,yes,participant_trials/k03/b018_t18_wash-2-1-l.svg
K03,k03.asc,19,19,16,paint-1-2-l.png,3612,17,11,6,0,8,9,0,direct,AVP,yes,participant_trials/k03/b019_t19_paint-1-2-l.svg
K03,k03.asc,20,20,17,give_water-1-1-r.png,2857,13,10,3,0,6,5,2,direct,AVP,yes,participant_trials/k03/b020_t20_give_water-1-1-r.svg
K03,k03.asc,21,21,18,clean-2-2-r.png,2996,15,10,5,0,12,2,1,inverse,AVP,yes,participant_trials/k03/b021_t21_clean-2-2-r.svg
K03,k03.asc,23,23,19,push-1-2-l.png,5804,24,18,6,0,9,12,3,inverse,AXVP,false start,participant_trials/k03/b023_t23_push-1-2-l.svg
K03,k03.asc,24,24,20,water-2-1-l.png,2358,12,8,4,0,12,0,0,inverse,AVP,yes,participant_trials/k03/b024_t24_water-2-1-l.svg
K03,k03.asc,25,25,21,pour-2-2-r.png,3021,17,11,6,0,13,4,0,inverse,AVP,yes,participant_trials/k03/b025_t25_pour-2-2-r.svg
K03,k03.asc,26,26,22,plant-1-1-r.png,4085,13,10,3,0,6,7,0,direct,AVPP,false start; russian,participant_trials/k03/b026_t26_plant-1-1-r.svg
K03,k03.asc,27,27,23,tie-2-1-l.png,3088,18,12,6,0,9,9,0,inverse,AVP,yes,participant_trials/k03/b027_t27_tie-2-1-l.svg
K03,k03.asc,28,28,24,boil-1-2-l.png,3205,10,6,4,0,3,7,0,direct,AVP,yes,participant_trials/k03/b028_t28_boil-1-2-l.svg
K03,k03.asc,29,29,25,shoot-1-1-r.png,1909,12,6,6,0,2,8,2,direct,AVP,yes,participant_trials/k03/b029_t29_shoot-1-1-r.svg
K03,k03.asc,30,30,26,hang-2-2-r.png,3872,16,11,5,0,13,2,1,inverse,AVP,yes,participant_trials/k03/b030_t30_hang-2-2-r.svg
K03,k03.asc,31,31,27,treat-1-2-l.png,2384,14,8,6,0,7,7,0,direct,AVP,yes,participant_trials/k03/b031_t31_treat-1-2-l.svg
K03,k03.asc,32,32,28,pull-2-1-l.png,2747,12,7,5,0,9,3,0,inverse,AVP,yes,participant_trials/k03/b032_t32_pull-2-1-l.svg
K03,k03.asc,33,33,29,scold-2-2-r.png,2232,11,5,6,0,10,1,0,inverse,AVP,yes,participant_trials/k03/b033_t33_scold-2-2-r.svg
K03,k03.asc,34,34,30,burn-1-1-r.png,3065,15,9,6,0,5,10,0,direct,AVP,yes,participant_trials/k03/b034_t34_burn-1-1-r.svg
K03,k03.asc,35,35,31,hit-2-1-l.png,2290,13,6,7,0,9,4,0,inverse,AVP,yes,participant_trials/k03/b035_t35_hit-2-1-l.svg
K03,k03.asc,36,36,32,saw-1-2-l.png,2954,14,9,5,0,5,8,1,direct,AVP,false start,participant_trials/k03/b036_t36_saw-1-2-l.svg
K03,k03.asc,37,37,1,give_water-2-1-l.png,5903,24,18,6,0,16,5,3,inverse,AVP,yes,participant_trials/k03/b037_t37_give_water-2-1-l.svg
K03,k03.asc,38,38,2,break-1-2-l.png,1208,7,1,6,0,3,4,0,direct,AVP,false start,participant_trials/k03/b038_t38_break-1-2-l.svg
K03,k03.asc,39,39,3,push-2-2-r.png,3937,17,12,5,0,3,12,2,other,AXP,yes,participant_trials/k03/b039_t39_push-2-2-r.svg
K03,k03.asc,40,40,4,eat-1-1-r.png,2662,12,9,3,0,6,6,0,direct,AVP,yes,participant_trials/k03/b040_t40_eat-1-1-r.svg
K03,k03.asc,41,41,5,pour-1-2-l.png,2227,11,6,5,0,8,3,0,direct,AVP,yes,participant_trials/k03/b041_t41_pour-1-2-l.svg
K03,k03.asc,42,42,6,pick-2-1-l.png,1678,7,3,4,0,7,0,0,inverse,AVP,yes,participant_trials/k03/b042_t42_pick-2-1-l.svg
K03,k03.asc,43,43,7,tie-1-1-r.png,1515,10,4,6,0,1,8,1,direct,AVP,yes,participant_trials/k03/b043_t43_tie-1-1-r.svg
K03,k03.asc,44,44,8,carry-2-2-r.png,1988,11,6,5,0,7,3,1,inverse,AVP,yes,participant_trials/k03/b044_t44_carry-2-2-r.svg
K03,k03.asc,45,45,9,call-2-1-l.png,2126,10,6,4,0,9,1,0,inverse,AVP,yes,participant_trials/k03/b045_t45_call-2-1-l.svg
