variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail
"r_person[9,Intercept]",-0.34272304198582776,-0.33942730640086693,0.14200346410292228,0.13806712261432225,-0.5816224779528244,-0.11505484528902936,1.0056700819088018,1048.857438531537,1525.979268830604
"r_person[10,Intercept]",0.5941757316684478,0.5961816785531691,0.14153928163123222,0.13597306127346648,0.3572621017264576,0.8188976427075534,1.0065298274781174,1023.4328505680171,1465.495156254215
"r_person[11,Intercept]",-0.020416058495635575,-0.019481722993824068,0.14928106852861478,0.14733122102671758,-0.2682120060309716,0.21699330671633904,1.0057025147304328,1085.2894406336056,1577.3689960713625
"r_person[12,Intercept]",-0.8657309751138971,-0.863335271464859,0.1425347339495812,0.13834384986891693,-1.1028929705876522,-0.6360800950573383,1.003805843868337,1055.7644233076583,1510.923222063948
"r_person[13,Intercept]",-0.14683757015668855,-0.14525850675322788,0.14333826819138565,0.13863447083160557,-0.3837626046334396,0.08721034870830655,1.006836596950524,1064.8133977823938,1513.0932671090677
"r_person[14,Intercept]",0.6666813875828179,0.6625853348881093,0.17212522857623003,0.1712951710254271,0.38622405556530554,0.9475494223823141,1.0014064714559352,1464.6858712384694,2220.638856046039
"r_person[1,time_c]",-2.559635096631075,-2.5753467788449678,0.4480413124369451,0.4224404750519555,-3.2625640032167036,-1.8255000656966862,1.0064894880736412,918.4301188860697,1293.7698645436326
"r_person[2,time_c]",-0.6902966507411097,-0.7093432429192726,0.45232105276852114,0.4172411288234958,-1.3970380344928213,0.06401758331313698,1.0073961931491928,898.170967400316,1231.5805534753677
"r_person[3,time_c]",0.21346564384459868,0.19658695802290266,0.445616619788958,0.4138790698125554,-0.4924578764986162,0.9455370673598675,1.0052704529672618,902.1947466099953,1274.8137400894846
"r_person[4,time_c]",-1.8306152448965003,-1.8480683875993629,0.44547000209379795,0.40932440176707663,-2.5309011971645066,-1.0912065389057783,1.0059584482459059,904.6761977703833,1216.0959605396492
"r_person[5,time_c]",0.7353599531338945,0.7164094175950144,0.4504729951366623,0.4220640229025338,0.020184563625842762,1.4821874389686078,1.0054369387054145,912.7489861160959,1274.0976177104124
"r_person[6,time_c]",0.6486773363181209,0.6359397527063528,0.4473905445680091,0.41420995288168583,-0.06856899144271457,1.386187763416069,1.0060076098188104,921.5160951842486,1213.265513998365
"r_person[7,time_c]",0.025376123746429363,0.005673571828682122,0.4421523320826418,0.40401668792535944,-0.6675296729649938,0.7622452557436491,1.007287177945881,886.3107423919744,1178.8100334944152
"r_person[8,time_c]",0.08043940913886435,0.06808919419726778,0.44443191702838186,0.41320080401292064,-0.6254678140645499,0.8144146306405751,1.0073294899819574,890.1378770598129,1269.1837995513745
"r_person[9,time_c]",0.11247751818485811,0.0952963957275382,0.4466124348978498,0.409927535733794,-0.5988687752430233,0.8577621893032644,1.0055354388603186,915.5462296597586,1291.280476793776
"r_person[10,time_c]",-0.1886593177432759,-0.20461899578206416,0.4456667219674654,0.4146773672094642,-0.8965740216936223,0.5492951200717855,1.0058731899840943,896.7286149441798,1247.260958250049
"r_person[11,time_c]",-0.30799039555289687,-0.31927080549159403,0.45965489981825075,0.433612695722807,-1.021326945320053,0.4704184479539198,1.006269119113054,921.7569911469324,1310.3931683716803
"r_person[12,time_c]",-0.10855958401377526,-0.12852070799072302,0.44977249711604644,0.41727441307503155,-0.8087962804947328,0.6460221612244742,1.0060651984188116,922.806125970997,1271.2334396188508
"r_person[13,time_c]",0.06135909113654581,0.04207168947192848,0.45136569536742366,0.42118166074463453,-0.6525360164919916,0.8074269579640726,1.0047166311228726,911.8739433247076,1256.7532658979806
"r_person[14,time_c]",3.9301981953866414,3.896935486529168,0.5429880248240999,0.5206593416049685,3.0880167330660147,4.84436246357783,1.0025648230597533,1407.5413188001253,1915.3517214864694
lprior,-5.944859169834388,-5.917657692285399,0.12179523207428976,0.09673539260392128,-6.1760327618653115,-5.80017505187356,1.003137018835186,932.4924978822824,1080.2979469720908
lp__,-80946.58145860324,-80946.2556094524,7.256899952483968,7.142021712569825,-80959.22713933485,-80935.36751065346,1.0045957260032776,593.1403910221974,1546.4058827527767
