window_key,window,sentence_type,condition_key,condition,filename_suffix,agent_num,patient_num,referent,time_rel,mean_prop,sd_prop,n_bins,lower,upper
linguistic_encoding_1,Linguistic encoding I,direct,direct_1_agent_2_patients,"1 agent, 2 patients",1_agent_2_patients,1,2,agent,0.850000,0.723350,0.431266,197,0.661897,0.784803
linguistic_encoding_1,Linguistic encoding I,direct,direct_1_agent_2_patients,"1 agent, 2 patients",1_agent_2_patients,1,2,agent,0.900000,0.704881,0.441521,191,0.640986,0.768776
linguistic_encoding_1,Linguistic encoding I,direct,direct_1_agent_2_patients,"1 agent, 2 patients",1_agent_2_patients,1,2,agent,0.950000,0.733237,0.425115,207,0.674142,0.792332
linguistic_encoding_1,Linguistic encoding I,direct,direct_1_agent_2_patients,"1 agent, 2 patients",1_agent_2_patients,1,2,agent,1.000000,0.676954,0.458767,209,0.613487,0.740422
linguistic_encoding_1,Linguistic encoding I,direct,direct_1_agent_2_patients,"1 agent, 2 patients",1_agent_2_patients,1,2,patient,0.000000,0.231602,0.413650,198,0.172808,0.290395
linguistic_encoding_1,Linguistic encoding I,direct,direct_1_agent_2_patients,"1 agent, 2 patients",1_agent_2_patients,1,2,patient,0.050000,0.348660,0.448515,97,0.257580,0.439739
linguistic_encoding_1,Linguistic encoding I,direct,direct_1_agent_2_patients,"1 agent, 2 patients",1_agent_2_patients,1,2,patient,0.100000,0.276869,0.437158,198,0.214734,0.339004
linguistic_encoding_1,Linguistic encoding I,direct,direct_1_agent_2_patients,"1 agent, 2 patients",1_agent_2_patients,1,2,patient,0.150000,0.257383,0.420155,214,0.199941,0.314826
linguistic_encoding_1,Linguistic encoding I,direct,direct_1_agent_2_patients,"1 agent, 2 patients",1_agent_2_patients,1,2,patient,0.200000,0.278095,0.435192,189,0.214784,0.341406
linguistic_encoding_1,Linguistic encoding I,direct,direct_1_agent_2_patients,"1 agent, 2 patients",1_agent_2_patients,1,2,patient,0.250000,0.269014,0.437624,213,0.209043,0.328985
linguistic_encoding_1,Linguistic encoding I,direct,direct_1_agent_2_patients,"1 agent, 2 patients",1_agent_2_patients,1,2,patient,0.300000,0.299895,0.448732,190,0.234786,0.365004
linguistic_encoding_1,Linguistic encoding I,direct,direct_1_agent_2_patients,"1 agent, 2 patients",1_agent_2_patients,1,2,patient,0.350000,0.288837,0.444453,215,0.228214,0.349460
linguistic_encoding_1,Linguistic encoding I,direct,direct_1_agent_2_patients,"1 agent, 2 patients",1_agent_2_patients,1,2,patient,0.400000,0.261320,0.429295,197,0.200148,0.322492
linguistic_encoding_1,Linguistic encoding I,direct,direct_1_agent_2_patients,"1 agent, 2 patients",1_agent_2_patients,1,2,patient,0.450000,0.249848,0.425410,197,0.189229,0.310466
linguistic_encoding_1,Linguistic encoding I,direct,direct_1_agent_2_patients,"1 agent, 2 patients",1_agent_2_patients,1,2,patient,0.500000,0.211569,0.394059,204,0.156389,0.266748
linguistic_encoding_1,Linguistic encoding I,direct,direct_1_agent_2_patients,"1 agent, 2 patients",1_agent_2_patients,1,2,patient,0.550000,0.198557,0.385845,194,0.143153,0.253961
linguistic_encoding_1,Linguistic encoding I,direct,direct_1_agent_2_patients,"1 agent, 2 patients",1_agent_2_patients,1,2,patient,0.600000,0.192764,0.376528,199,0.139381,0.246147
linguistic_encoding_1,Linguistic encoding I,direct,direct_1_agent_2_patients,"1 agent, 2 patients",1_agent_2_patients,1,2,patient,0.650000,0.204488,0.400734,205,0.148511,0.260465
linguistic_encoding_1,Linguistic encoding I,direct,direct_1_agent_2_patients,"1 agent, 2 patients",1_agent_2_patients,1,2,patient,0.700000,0.195317,0.388246,205,0.141085,0.249550
linguistic_encoding_1,Linguistic encoding I,direct,direct_1_agent_2_patients,"1 agent, 2 patients",1_agent_2_patients,1,2,patient,0.750000,0.173654,0.361080,208,0.123581,0.223727
linguistic_encoding_1,Linguistic encoding I,direct,direct_1_agent_2_patients,"1 agent, 2 patients",1_agent_2_patients,1,2,patient,0.800000,0.132864,0.328854,199,0.086241,0.179488
linguistic_encoding_1,Linguistic encoding I,direct,direct_1_agent_2_patients,"1 agent, 2 patients",1_agent_2_patients,1,2,patient,0.850000,0.153299,0.354424,197,0.102796,0.203803
linguistic_encoding_1,Linguistic encoding I,direct,direct_1_agent_2_patients,"1 agent, 2 patients",1_agent_2_patients,1,2,patient,0.900000,0.183012,0.378458,191,0.128244,0.237781
linguistic_encoding_1,Linguistic encoding I,direct,direct_1_agent_2_patients,"1 agent, 2 patients",1_agent_2_patients,1,2,patient,0.950000,0.166473,0.368132,207,0.115300,0.217647
linguistic_encoding_1,Linguistic encoding I,direct,direct_1_agent_2_patients,"1 agent, 2 patients",1_agent_2_patients,1,2,patient,1.000000,0.214175,0.403570,209,0.158344,0.270006
linguistic_encoding_1,Linguistic encoding I,inverse,inverse_2_agents_1_patient,"2 agents, 1 patient",2_agents_1_patient,2,1,agent,0.000000,0.729037,0.424955,184,0.666381,0.791694
linguistic_encoding_1,Linguistic encoding I,inverse,inverse_2_agents_1_patient,"2 agents, 1 patient",2_agents_1_patient,2,1,agent,0.050000,0.633333,0.461364,99,0.540596,0.726071
linguistic_encoding_1,Linguistic encoding I,inverse,inverse_2_agents_1_patient,"2 agents, 1 patient",2_agents_1_patient,2,1,agent,0.100000,0.650200,0.457939,200,0.585438,0.714962
linguistic_encoding_1,Linguistic encoding I,inverse,inverse_2_agents_1_patient,"2 agents, 1 patient",2_agents_1_patient,2,1,agent,0.150000,0.675849,0.451737,212,0.613798,0.737900
linguistic_encoding_1,Linguistic encoding I,inverse,inverse_2_agents_1_patient,"2 agents, 1 patient",2_agents_1_patient,2,1,agent,0.200000,0.690872,0.449041,195,0.626559,0.755185
linguistic_encoding_1,Linguistic encoding I,inverse,inverse_2_agents_1_patient,"2 agents, 1 patient",2_agents_1_patient,2,1,agent,0.250000,0.711340,0.435554,194,0.648798,0.773882
linguistic_encoding_1,Linguistic encoding I,inverse,inverse_2_agents_1_patient,"2 agents, 1 patient",2_agents_1_patient,2,1,agent,0.300000,0.654286,0.451582,196,0.589774,0.718797
linguistic_encoding_1,Linguistic encoding I,inverse,inverse_2_agents_1_patient,"2 agents, 1 patient",2_agents_1_patient,2,1,agent,0.350000,0.668700,0.461174,200,0.603480,0.733920
linguistic_encoding_1,Linguistic encoding I,inverse,inverse_2_agents_1_patient,"2 agents, 1 patient",2_agents_1_patient,2,1,agent,0.400000,0.711741,0.434264,201,0.650480,0.773003
linguistic_encoding_1,Linguistic encoding I,inverse,inverse_2_agents_1_patient,"2 agents, 1 patient",2_agents_1_patient,2,1,agent,0.450000,0.715556,0.435999,189,0.652127,0.778984
linguistic_encoding_1,Linguistic encoding I,inverse,inverse_2_agents_1_patient,"2 agents, 1 patient",2_agents_1_patient,2,1,agent,0.500000,0.690048,0.449789,207,0.627523,0.752573
linguistic_encoding_1,Linguistic encoding I,inverse,inverse_2_agents_1_patient,"2 agents, 1 patient",2_agents_1_patient,2,1,agent,0.550000,0.759684,0.404757,190,0.700956,0.818413
linguistic_encoding_1,Linguistic encoding I,inverse,inverse_2_agents_1_patient,"2 agents, 1 patient",2_agents_1_patient,2,1,agent,0.600000,0.744752,0.425680,202,0.684851,0.804654
linguistic_encoding_1,Linguistic encoding I,inverse,inverse_2_agents_1_patient,"2 agents, 1 patient",2_agents_1_patient,2,1,agent,0.650000,0.686667,0.448605,198,0.622905,0.750429
linguistic_encoding_1,Linguistic encoding I,inverse,inverse_2_agents_1_patient,"2 agents, 1 patient",2_agents_1_patient,2,1,agent,0.700000,0.709175,0.444574,194,0.645338,0.773012
