participant,referent,time_bin_start_ms,mean_prop,sd_prop,n_trial_bins,lower,upper
RAI_b1,patient,2300,0.500000,0.527046,10,0.166667,0.833333
RAI_b1,patient,2350,0.604000,0.468074,10,0.307964,0.900036
RAI_b1,patient,2400,0.608000,0.506596,10,0.287600,0.928400
RAI_b1,patient,2450,0.700000,0.483046,10,0.394495,1.000000
RAI_b1,patient,2500,0.700000,0.483046,10,0.394495,1.000000
RAI_b1,patient,2550,0.646000,0.475913,10,0.345006,0.946994
RAI_b1,patient,2600,0.696000,0.480444,10,0.392140,0.999860
RAI_b1,patient,2650,0.700000,0.483046,10,0.394495,1.000000
RAI_b1,patient,2700,0.694000,0.479263,10,0.390887,0.997113
RAI_b1,patient,2750,0.600000,0.516398,10,0.273401,0.926599
RAI_b1,patient,2800,0.600000,0.516398,10,0.273401,0.926599
RAI_b1,patient,2850,0.600000,0.516398,10,0.273401,0.926599
RAI_b1,patient,2900,0.632000,0.483983,10,0.325902,0.938098
RAI_b1,patient,2950,0.698000,0.481705,10,0.393343,1.000000
RAI_b1,patient,3000,0.600000,0.516398,10,0.273401,0.926599
RAI_b1,patient,3050,0.572000,0.498460,10,0.256746,0.887254
RAI_b1,patient,3100,0.400000,0.516398,10,0.073401,0.726599
RAI_b1,patient,3150,0.438000,0.497322,10,0.123466,0.752534
RAI_b1,patient,3200,0.500000,0.527046,10,0.166667,0.833333
RAI_b1,patient,3250,0.500000,0.527046,10,0.166667,0.833333
RAI_b1,patient,3300,0.420000,0.502881,10,0.101950,0.738050
RAI_b1,patient,3350,0.308000,0.478163,10,0.005583,0.610417
RAI_b1,patient,3400,0.300000,0.483046,10,0.000000,0.605505
RAI_b1,patient,3450,0.282000,0.456698,10,0.000000,0.570841
RAI_b2,agent,0,0.500000,0.500000,9,0.166667,0.833333
RAI_b2,agent,50,0.555556,0.527046,9,0.204191,0.906920
RAI_b2,agent,100,0.555556,0.527046,9,0.204191,0.906920
RAI_b2,agent,150,0.588889,0.392188,9,0.327430,0.850347
RAI_b2,agent,200,0.431111,0.455973,9,0.127129,0.735093
RAI_b2,agent,250,0.333333,0.500000,9,0.000000,0.666667
RAI_b2,agent,300,0.333333,0.500000,9,0.000000,0.666667
RAI_b2,agent,350,0.355556,0.472629,9,0.040470,0.670641
RAI_b2,agent,400,0.444444,0.527046,9,0.093080,0.795809
RAI_b2,agent,450,0.444444,0.527046,9,0.093080,0.795809
RAI_b2,agent,500,0.444444,0.527046,9,0.093080,0.795809
RAI_b2,agent,550,0.415556,0.499177,9,0.082771,0.748340
RAI_b2,agent,600,0.333333,0.500000,9,0.000000,0.666667
RAI_b2,agent,650,0.442222,0.524447,9,0.092591,0.791853
RAI_b2,agent,700,0.444444,0.527046,9,0.093080,0.795809
RAI_b2,agent,750,0.444444,0.527046,9,0.093080,0.795809
RAI_b2,agent,800,0.357778,0.486872,9,0.033196,0.682359
RAI_b2,agent,850,0.333333,0.500000,9,0.000000,0.666667
RAI_b2,agent,900,0.333333,0.500000,9,0.000000,0.666667
RAI_b2,agent,950,0.333333,0.500000,9,0.000000,0.666667
RAI_b2,agent,1000,0.313333,0.472864,9,0.000000,0.628576
RAI_b2,agent,1050,0.333333,0.500000,9,0.000000,0.666667
RAI_b2,agent,1100,0.333333,0.500000,9,0.000000,0.666667
RAI_b2,agent,1150,0.368889,0.474775,9,0.052372,0.685405
RAI_b2,agent,1200,0.328889,0.493468,9,0.000000,0.657868
RAI_b2,agent,1250,0.242222,0.380322,9,0.000000,0.495770
RAI_b2,agent,1300,0.333333,0.500000,9,0.000000,0.666667
RAI_b2,agent,1350,0.333333,0.500000,9,0.000000,0.666667
RAI_b2,agent,1400,0.333333,0.500000,9,0.000000,0.666667
RAI_b2,agent,1450,0.333333,0.500000,9,0.000000,0.666667
RAI_b2,agent,1500,0.333333,0.500000,9,0.000000,0.666667
RAI_b2,agent,1550,0.333333,0.500000,9,0.000000,0.666667
RAI_b2,agent,1600,0.400000,0.489898,9,0.073401,0.726599
RAI_b2,agent,1650,0.457778,0.515795,9,0.113914,0.801641
RAI_b2,agent,1700,0.520000,0.497192,9,0.188539,0.851461
RAI_b2,agent,1750,0.440000,0.521920,9,0.092054,0.787946
RAI_b2,agent,1800,0.444444,0.527046,9,0.093080,0.795809
RAI_b2,agent,1850,0.502222,0.500044,9,0.168859,0.835585
RAI_b2,agent,1900,0.495556,0.500178,9,0.162104,0.829007
RAI_b2,agent,1950,0.555556,0.527046,9,0.204191,0.906920
RAI_b2,agent,2000,0.555556,0.527046,9,0.204191,0.906920
RAI_b2,agent,2050,0.535556,0.511251,9,0.194721,0.876390
RAI_b2,agent,2100,0.477778,0.474388,9,0.161519,0.794037
RAI_b2,agent,2150,0.333333,0.500000,9,0.000000,0.666667
RAI_b2,agent,2200,0.333333,0.500000,9,0.000000,0.666667
RAI_b2,agent,2250,0.417778,0.500844,9,0.083882,0.751674
RAI_b2,agent,2300,0.444444,0.527046,9,0.093080,0.795809
RAI_b2,agent,2350,0.444444,0.527046,9,0.093080,0.795809
RAI_b2,agent,2400,0.444444,0.527046,9,0.093080,0.795809
RAI_b2,agent,2450,0.440000,0.521920,9,0.092054,0.787946
RAI_b2,agent,2500,0.408889,0.494683,9,0.079100,0.738677
RAI_b2,agent,2550,0.444444,0.527046,9,0.093080,0.795809
RAI_b2,agent,2600,0.444444,0.527046,9,0.093080,0.795809
RAI_b2,agent,2650,0.444444,0.527046,9,0.093080,0.795809
RAI_b2,agent,2700,0.444444,0.527046,9,0.093080,0.795809
RAI_b2,agent,2750,0.444444,0.527046,9,0.093080,0.795809
RAI_b2,agent,2800,0.444444,0.527046,9,0.093080,0.795809
RAI_b2,agent,2850,0.315556,0.434140,9,0.026129,0.604982
RAI_b2,agent,2900,0.437778,0.519466,9,0.091467,0.784088
RAI_b2,agent,2950,0.364444,0.485157,9,0.041006,0.687883
RAI_b2,agent,3000,0.333333,0.500000,9,0.000000,0.666667
RAI_b2,agent,3050,0.328889,0.493468,9,0.000000,0.657868
RAI_b2,agent,3100,0.120000,0.331059,9,0.000000,0.340706
RAI_b2,agent,3150,0.111111,0.333333,9,0.000000,0.333333
RAI_b2,agent,3200,0.151111,0.339869,9,0.000000,0.377691
RAI_b2,agent,3250,0.271111,0.437620,9,0.000000,0.562858
RAI_b2,agent,3300,0.333333,0.500000,9,0.000000,0.666667
RAI_b2,agent,3350,0.293333,0.452106,9,0.000000,0.594737
RAI_b2,agent,3400,0.162222,0.349062,9,0.000000,0.394930
RAI_b2,agent,3450,0.120000,0.331059,9,0.000000,0.340706
RAI_b2,patient,0,0.444444,0.527046,9,0.093080,0.795809
RAI_b2,patient,50,0.444444,0.527046,9,0.093080,0.795809
RAI_b2,patient,100,0.444444,0.527046,9,0.093080,0.795809
RAI_b2,patient,150,0.400000,0.388201,9,0.141199,0.658801
RAI_b2,patient,200,0.457778,0.459613,9,0.151369,0.764187
RAI_b2,patient,250,0.555556,0.527046,9,0.204191,0.906920
RAI_b2,patient,300,0.555556,0.527046,9,0.204191,0.906920
RAI_b2,patient,350,0.497778,0.483264,9,0.175602,0.819954
RAI_b2,patient,400,0.555556,0.527046,9,0.204191,0.906920
RAI_b2,patient,450,0.451111,0.521067,9,0.103733,0.798489
RAI_b2,patient,500,0.444444,0.527046,9,0.093080,0.795809
RAI_b2,patient,550,0.473333,0.506360,9,0.135760,0.810906
RAI_b2,patient,600,0.555556,0.527046,9,0.204191,0.906920
RAI_b2,patient,650,0.446667,0.524976,9,0.096683,0.796651
RAI_b2,patient,700,0.444444,0.527046,9,0.093080,0.795809
RAI_b2,patient,750,0.444444,0.527046,9,0.093080,0.795809
RAI_b2,patient,800,0.428889,0.510403,9,0.088620,0.769157
RAI_b2,patient,850,0.333333,0.500000,9,0.000000,0.666667
RAI_b2,patient,900,0.333333,0.500000,9,0.000000,0.666667
RAI_b2,patient,950,0.333333,0.500000,9,0.000000,0.666667
RAI_b2,patient,1000,0.260000,0.410366,9,0.000000,0.533577
RAI_b2,patient,1050,0.222222,0.440959,9,0.000000,0.516195
RAI_b2,patient,1100,0.222222,0.440959,9,0.000000,0.516195
RAI_b2,patient,1150,0.433333,0.422847,9,0.151435,0.715232
RAI_b2,patient,1200,0.531111,0.508637,9,0.192020,0.870202
RAI_b2,patient,1250,0.551111,0.522983,9,0.202456,0.899766
RAI_b2,patient,1300,0.553333,0.492747,9,0.224835,0.881832
RAI_b2,patient,1350,0.608889,0.483954,9,0.286253,0.931525
RAI_b2,patient,1400,0.657778,0.494009,9,0.328439,0.987117
RAI_b2,patient,1450,0.537778,0.472911,9,0.222504,0.853052
RAI_b2,patient,1500,0.406667,0.493356,9,0.077763,0.735571
RAI_b2,patient,1550,0.333333,0.500000,9,0.000000,0.666667
RAI_b2,patient,1600,0.246667,0.400749,9,0.000000,0.513833
RAI_b2,patient,1650,0.182222,0.372618,9,0.000000,0.430634
RAI_b2,patient,1700,0.257778,0.426198,9,0.000000,0.541910
RAI_b2,patient,1750,0.337778,0.496834,9,0.006555,0.669001
RAI_b2,patient,1800,0.333333,0.500000,9,0.000000,0.666667
RAI_b2,patient,1850,0.224444,0.439747,9,0.000000,0.517609
RAI_b2,patient,1900,0.222222,0.440959,9,0.000000,0.516195
RAI_b2,patient,1950,0.222222,0.440959,9,0.000000,0.516195
RAI_b2,patient,2000,0.106667,0.238537,9,0.000000,0.265691
RAI_b2,patient,2050,0.020000,0.060000,9,0.000000,0.060000
RAI_b2,patient,2100,0.031111,0.093333,9,0.000000,0.093333
RAI_b2,patient,2150,0.011111,0.033333,9,0.000000,0.033333
