type,word_order,split,referent,time_bin_start_ms,mean_prop,sd_prop,n_trial_bins,lower,upper
act,APV,more_than_mean,patient,4450,0.564966,0.487063,145,0.484069,0.645862
act,APV,more_than_mean,patient,4500,0.547172,0.490531,145,0.465700,0.628645
act,APV,more_than_mean,patient,4550,0.563586,0.490026,145,0.482197,0.644975
act,APV,more_than_mean,patient,4600,0.519172,0.484377,145,0.438722,0.599623
act,APV,more_than_mean,patient,4650,0.497241,0.487634,145,0.416250,0.578233
act,APV,more_than_mean,patient,4700,0.498621,0.491515,145,0.416984,0.580257
act,APV,more_than_mean,patient,4750,0.525103,0.492301,145,0.443337,0.606870
act,APV,more_than_mean,patient,4800,0.521379,0.495169,145,0.439136,0.603622
act,APV,more_than_mean,patient,4850,0.507448,0.489858,145,0.426087,0.588809
act,APV,more_than_mean,patient,4900,0.487862,0.488321,145,0.406756,0.568968
act,PV,less_than_mean,agent,0,0.457436,0.500151,39,0.297259,0.617612
act,PV,less_than_mean,agent,50,0.441538,0.469207,39,0.291272,0.591805
act,PV,less_than_mean,agent,100,0.416923,0.494401,39,0.258588,0.575258
act,PV,less_than_mean,agent,150,0.388718,0.461594,39,0.240889,0.536546
act,PV,less_than_mean,agent,200,0.369231,0.443784,39,0.227106,0.511355
act,PV,less_than_mean,agent,250,0.414872,0.495235,39,0.256270,0.573474
act,PV,less_than_mean,agent,300,0.437436,0.480639,39,0.283508,0.591364
act,PV,less_than_mean,agent,350,0.409744,0.481442,39,0.255559,0.563929
act,PV,less_than_mean,agent,400,0.378974,0.448247,39,0.235420,0.522528
act,PV,less_than_mean,agent,450,0.380000,0.479429,39,0.226460,0.533540
act,PV,less_than_mean,agent,500,0.405128,0.481920,39,0.250790,0.559466
