time_bin50,ppt.no,type,cond,wo,item,sol,ppt_ids,agent.sum,pat.sum,N,person,sentence_type,active_voice,time_rel,time,log.agent,wts.agent
0,4,pass,P,PAV,11,2423,IMI_b1,49,0,49,4,pass,-1,0,0,4.59511985013459,2.0202020202020203
0,4,pass,P,PAV,14,1754,IMI_b1,49,0,49,4,pass,-1,0,0,4.59511985013459,2.0202020202020203
0,4,pass,P,PAV,15,1897,IMI_a3,49,0,49,4,pass,-1,0,0,4.59511985013459,2.0202020202020203
0,4,pass,P,PAV,17,2769,IMI_b1,49,0,49,4,pass,-1,0,0,4.59511985013459,2.0202020202020203
0,4,pass,P,PAV,18,3564,IMI_a3,26,23,49,4,pass,-1,0,0,0.12014431184206321,0.08028904054596547
0,4,pass,P,PAV,19,5926,IMI_b2,49,0,49,4,pass,-1,0,0,4.59511985013459,2.0202020202020203
0,4,pass,P,PAV,20,1789,IMI_b1,0,49,49,4,pass,-1,0,0,-4.59511985013459,2.0202020202020203
0,4,pass,P,PAV,21,2059,IMI_a3,0,49,49,4,pass,-1,0,0,-4.59511985013459,2.0202020202020203
0,4,pass,P,PAV,23,2872,IMI_b1,49,0,49,4,pass,-1,0,0,4.59511985013459,2.0202020202020203
0,4,pass,P,PAV,24,3351,IMI_a3,49,0,49,4,pass,-1,0,0,4.59511985013459,2.0202020202020203
0,5,act,A,APV,6,1960,KSM_b2,0,49,49,5,act,1,0,0,-4.59511985013459,2.0202020202020203
0,5,act,A,APV,9,2569,KSM_b2,0,49,49,5,act,1,0,0,-4.59511985013459,2.0202020202020203
0,5,act,A,APV,18,3346,KSM_b2,0,49,49,5,act,1,0,0,-4.59511985013459,2.0202020202020203
0,5,act,A,APV,19,2821,KSM_a1,0,49,49,5,act,1,0,0,-4.59511985013459,2.0202020202020203
0,5,act,A,PV,13,2207,KSM_a1,49,0,49,5,act,1,0,0,4.59511985013459,2.0202020202020203
0,5,act,A,PV,15,3350,KSM_b2,49,0,49,5,act,1,0,0,4.59511985013459,2.0202020202020203
0,5,act,A,PV,24,2132,KSM_b2,49,0,49,5,act,1,0,0,4.59511985013459,2.0202020202020203
0,5,act,P,APV,19,2956,KSM_b2,49,0,49,5,act,1,0,0,4.59511985013459,2.0202020202020203
0,5,act,none,APV,2,2047,KSM_b2,0,49,49,5,act,1,0,0,-4.59511985013459,2.0202020202020203
0,5,act,none,APV,6,4117,KSM_a1,0,49,49,5,act,1,0,0,-4.59511985013459,2.0202020202020203
0,5,act,none,APV,17,2114,KSM_b2,49,0,49,5,act,1,0,0,4.59511985013459,2.0202020202020203
0,5,act,none,APV,18,2721,KSM_a1,0,49,49,5,act,1,0,0,-4.59511985013459,2.0202020202020203
0,5,act,none,APV,21,3371,KSM_a1,49,0,49,5,act,1,0,0,4.59511985013459,2.0202020202020203
0,5,pass,P,APV,13,1763,KSM_b2,49,0,49,5,pass,-1,0,0,4.59511985013459,2.0202020202020203
