participant,image,sentence_type,condition_key,condition,agent_num,patient_num,patient_animacy,rt,matched_accuracy,matched_by,vf_acc,vn_acc,pn_acc,is_error_form,error_fields,excluded_from_graphs
К03,cover-2-2-r.png,inverse,inanimate,inanimate patient,2,2,inanimate,3336.000000,yes,participant_image,1,1,1,no,,no
К03,wash-1-2-l.png,direct,animate,animate patient,1,2,animate,1913.000000,yes,participant_image,1,1,1,no,,no
К03,give_water-2-2-r.png,inverse,animate,animate patient,2,2,animate,3765.000000,yes,participant_image,1,1,1,no,,no
К03,clean-1-1-r.png,direct,inanimate,inanimate patient,2,2,inanimate,2514.000000,yes,participant_image,1,1,1,no,,no
К03,water-1-2-l.png,direct,inanimate,inanimate patient,1,2,inanimate,3002.000000,yes,participant_image,1,1,1,no,,no
К03,pour-1-1-r.png,direct,animate,animate patient,1,1,animate,2513.000000,yes,participant_image,1,1,1,no,,no
К03,plant-2-2-r.png,inverse,inanimate,inanimate patient,2,2,inanimate,3143.000000,yes,participant_image,1,1,1,no,,no
К03,tie-1-2-l.png,direct,animate,animate patient,1,2,animate,1925.000000,yes,participant_image,1,1,1,no,,no
К03,boil-2-1-l.png,inverse,inanimate,inanimate patient,2,1,inanimate,2447.000000,yes,participant_image,1,1,1,no,,no
К03,shoot-2-2-r.png,inverse,animate,animate patient,2,2,animate,1841.000000,yes,participant_image,1,1,1,no,,no
К03,hang-1-1-r.png,direct,inanimate,inanimate patient,1,1,inanimate,2498.000000,yes,participant_image,1,1,1,no,,no
К03,treat-2-1-l.png,inverse,animate,animate patient,2,1,animate,3309.000000,yes,participant_image,1,1,1,no,,no
К03,pull-1-2-l.png,direct,inanimate,inanimate patient,1,2,inanimate,1964.000000,yes,participant_image,1,1,0,yes,pn_acc,yes
К03,scold-1-1-r.png,direct,animate,animate patient,1,1,animate,2250.000000,yes,participant_image,1,1,1,no,,no
К03,burn-2-2-r.png,inverse,inanimate,inanimate patient,2,2,inanimate,3547.000000,yes,participant_image,1,1,1,no,,no
К03,hit-1-2-l.png,direct,animate,animate patient,1,2,animate,3937.000000,yes,participant_image,1,0,1,yes,vn_acc,yes
К03,give_water-1-2-l.png,direct,animate,animate patient,1,2,animate,2500.000000,yes,participant_image,1,1,1,no,,no
К03,break-2-1-l.png,inverse,inanimate,inanimate patient,2,1,inanimate,1697.000000,yes,participant_image,1,1,1,no,,no
К03,eat-2-2-r.png,inverse,inanimate,inanimate patient,2,2,inanimate,2171.000000,yes,participant_image,1,1,1,no,,no
К03,pour-2-1-l.png,inverse,animate,animate patient,2,1,animate,1635.000000,yes,participant_image,1,1,1,no,,no
К03,pick-1-2-l.png,direct,inanimate,inanimate patient,1,2,inanimate,1438.000000,yes,participant_image,1,1,1,no,,no
К03,tie-2-2-r.png,inverse,animate,animate patient,2,2,animate,1587.000000,yes,participant_image,1,1,1,no,,no
К03,carry-1-1-r.png,direct,inanimate,inanimate patient,1,1,inanimate,1402.000000,yes,participant_image,1,1,1,no,,no
К03,call-1-2-l.png,direct,animate,animate patient,1,2,animate,1860.000000,yes,participant_image,1,1,1,no,,no
К03,clean-2-1-l.png,inverse,inanimate,inanimate patient,2,1,inanimate,1513.000000,yes,participant_image,1,1,1,no,,no
К03,feed-1-1-r.png,direct,animate,animate patient,1,1,animate,1323.000000,yes,participant_image,1,1,1,no,,no
К03,wake-2-1-l.png,inverse,animate,animate patient,2,1,animate,2504.000000,yes,participant_image,1,1,1,no,,no
К03,plant-1-2-l.png,direct,inanimate,inanimate patient,1,2,inanimate,2650.000000,yes,participant_image,1,1,1,no,,no
К03,boil-1-1-r.png,direct,inanimate,inanimate patient,1,1,inanimate,2054.000000,yes,participant_image,1,1,1,no,,no
К03,teach-1-2-l.png,direct,animate,animate patient,1,2,animate,2629.000000,yes,participant_image,1,1,1,no,,no
К03,hang-2-1-l.png,inverse,inanimate,inanimate patient,2,1,inanimate,1425.000000,yes,participant_image,1,1,1,no,,no
К03,dress-1-1-r.png,direct,animate,animate patient,1,1,animate,2175.000000,yes,participant_image,1,1,1,no,,no
К03,pull-2-2-r.png,inverse,inanimate,inanimate patient,2,2,inanimate,2270.000000,yes,participant_image,1,1,1,no,,no
К03,cut_hair-2-1-l.png,inverse,animate,animate patient,2,1,animate,2052.000000,yes,participant_image,1,1,1,no,,no
К03,burn-1-2-l.png,direct,inanimate,inanimate patient,1,2,inanimate,2037.000000,yes,participant_image,1,1,1,no,,no
К03,wash-2-2-r.png,inverse,animate,animate patient,2,2,animate,1811.000000,yes,participant_image,1,1,1,no,,no
К03,shoot-1-2-l.png,direct,animate,animate patient,1,2,animate,1851.000000,yes,participant_image,1,1,1,no,,no
К03,open-2-1-l.png,inverse,inanimate,inanimate patient,2,1,inanimate,1687.000000,yes,participant_image,1,1,1,no,,no
К03,treat-1-1-r.png,direct,animate,animate patient,1,1,animate,1797.000000,yes,participant_image,1,1,1,no,,no
К03,scold-2-1-l.png,inverse,animate,animate patient,2,1,animate,3306.000000,yes,participant_image,1,1,1,no,,no
К03,cover-1-2-l.png,direct,inanimate,inanimate patient,1,2,inanimate,2063.000000,yes,participant_image,1,1,1,no,,no
К03,hit-2-2-r.png,inverse,animate,animate patient,2,2,animate,2418.000000,yes,participant_image,1,1,1,no,,no
К03,paint-1-1-r.png,direct,inanimate,inanimate patient,1,1,inanimate,3131.000000,yes,participant_image,1,1,1,no,,no
К04,eat-2-1-l.png,inverse,inanimate,inanimate patient,2,1,inanimate,3832.000000,yes,participant_image,1,1,1,no,,no
К04,wake-2-2-r.png,inverse,animate,animate patient,2,2,animate,3555.000000,yes,participant_image,1,1,1,no,,no
К04,open-2-2-r.png,inverse,inanimate,inanimate patient,1,1,inanimate,2671.000000,yes,participant_image,1,1,0,yes,pn_acc,yes
К04,cut_hair-2-2-r.png,inverse,animate,animate patient,2,2,animate,3852.000000,yes,participant_image,1,0,0,yes,vn_acc+pn_acc,yes
К04,cover-1-1-r.png,direct,inanimate,inanimate patient,1,1,inanimate,3014.000000,yes,participant_image,1,1,1,no,,no
К04,paint-1-2-l.png,direct,inanimate,inanimate patient,1,2,inanimate,2064.000000,yes,participant_image,1,1,1,no,,no
