participant's id,list,number,trial_num,image,ans,agens,patiens,age,cond,agens_gender,patiens_gender,agens_num,patiens_num,patiens_animacy,practice,translation,transcription,reaction time,fluency,sentence type,word order,comments,
К24,2,67,32,paint-1-1-r.png,paint-1-1-r.wav,"(970.0,100.0)","(40.0,100.0)",adult,0,m,n,1,1,0,0,Мальчик красит доску,Г’оячек..г’оячеко доска кукрасин'нынын,6698,false start,direct,APV,,
К07,1,1,0,cut_apple.png,tr1.wav,"(0.0,0.0)","(0.0,0.0)",n,0,n,n,0,0,0,1,Бабушка режет яблоко,--,-,-,-,-,,
К07,1,2,0,drag-2-2-e.png,tr2.wav,"(0.0,0.0)","(0.0,0.0)",n,0,n,n,0,0,0,1,Две девочки везут двух мальчиков,--,-,-,-,-,,
К07,1,3,0,dogs_bite.png,tr3.wav,"(0.0,0.0)","(0.0,0.0)",n,0,n,n,0,0,0,1,Собаки кусают мужчину,--,-,-,-,-,,
К07,1,4,1,call-1-1-r.png,call-1-1-r.wav,"(970.0,100.0)","(40.0,100.0)",old,0,f,m,1,1,1,0,Бабушка зовёт дедушку,Чачамйа ку..кыг'эйн'эв'н'ынин... к'лавол,4409,pause; false start,direct,AVP,,
К07,1,5,2,break-2-2-r.png,break-2-2-r.wav,"(970.0,100.0)","(40.0,100.0)",child,1,m,n,2,2,0,0,Два мальчика ломают два домика,ПРОПУСК,-,-,-,-,,
К07,1,6,3,feed-1-2-l.png,feed-1-2-l.wav,"(40.0,100.0)","(970.0,100.0)",old,0,m,f,1,2,1,0,Дедушка кормит двух бабушек,Ынпыӄлавола ку..кунэв'ыеньн'ынин эльг'ат,6100,pause; false start,direct,AVP,,
К07,1,7,4,eat-2-1-l.png,eat-2-1-l.wav,"(40.0,100.0)","(970.0,100.0)",adult,1,f,n,2,1,0,0,Две женщины едят одно яблоко,нэкуг'итэн'ын яблокан... н'авыткатпэляк'а,10562,pause,inverse,VPA,,
К07,1,8,5,wake-2-2-r.png,wake-2-2-r.wav,"(970.0,100.0)","(40.0,100.0)",adult,1,f,m,2,2,1,0,Две женщины будят двух мужчин,Эльг'ата  нэкунык'ъев'н'ынэт г’уемтэв’илг’ыт,5867,yes,inverse,AVP,,
К07,1,9,6,pick-1-1-r.png,pick-1-1-r.wav,"(970.0,100.0)","(40.0,100.0)",child,0,m,n,1,1,0,0,Мальчик срывает цветок,К'айыкмин'а куепн'ын'нин цветок,2461,yes,direct,AVP,желательное наклонение,
К07,1,10,7,makelaugh-2-1-l.png,makelaugh-2-1-l.wav,"(40.0,100.0)","(970.0,100.0)",old,1,f,m,2,1,1,0,Две бабушки смешат дедушку,Эльг'ата..эльг'ат  качачгын'челан' омакан',6198,false start,intransitive,AVX,девушки смеются вместе,
